,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL
77,Paris - Restaurant & Bar,4.5,249,http://www.tripadvisor.com/Restaurant_Review-g293917-d3369135-Reviews-Paris_Restaurant_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/04/53/fb/43/paris-restaurant-et-bar.jpg
78,Labkai Nimman,4.5,118,http://www.tripadvisor.com/Restaurant_Review-g293917-d7383922-Reviews-Labkai_Nimman-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/15/6d/81/img-20170425-200415-edited.jpg
79,Cherng Doi Grilled Chicken,4.5,104,http://www.tripadvisor.com/Restaurant_Review-g293917-d1828718-Reviews-Cherng_Doi_Grilled_Chicken-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/65/68/a0/slow-roasted-chicken.jpg
80,The FACES Gallery & Gastro Bar,4.5,144,http://www.tripadvisor.com/Restaurant_Review-g293917-d10786968-Reviews-The_FACES_Gallery_Gastro_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/09/fd/84/the-indoor-area.jpg
81,"Deck 1, Rarinjinda Wellness Spa Resort",4,412,http://www.tripadvisor.com/Restaurant_Review-g293917-d1717750-Reviews-Deck_1_Rarinjinda_Wellness_Spa_Resort-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/ed/55/cf/amazing-appetizers-delectable.jpg
82,Classic Burgers,4.5,64,http://www.tripadvisor.com/Restaurant_Review-g293917-d10083328-Reviews-Classic_Burgers-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0a/b0/b5/09/img-20160324-221344-largejpg.jpg
83,Grill of India,4.5,113,http://www.tripadvisor.com/Restaurant_Review-g293917-d8634491-Reviews-Grill_of_India-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/09/0a/0a/e4/some-of-the-delicious.jpg
84,Doo Dee Restaurant & Bar,4.5,278,http://www.tripadvisor.com/Restaurant_Review-g293917-d2333415-Reviews-Doo_Dee_Restaurant_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/52/29/10/doo-dee-pub-restaurant.jpg
85,Huen Muan Jai,4.5,154,http://www.tripadvisor.com/Restaurant_Review-g293917-d3492119-Reviews-Huen_Muan_Jai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0b/34/7d/68/caption.jpg
86,Smoothie Blues,4.5,204,http://www.tripadvisor.com/Restaurant_Review-g293917-d1129896-Reviews-Smoothie_Blues-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/11/6b/44/5e/photo2jpg.jpg
87,Pakorn's Kitchen,5,70,http://www.tripadvisor.com/Restaurant_Review-g293917-d10597899-Reviews-Pakorn_s_Kitchen-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0c/51/2c/18/pakorn-s-kitchen.jpg
88,Pasta & Basta Italian Restaurant,5,60,http://www.tripadvisor.com/Restaurant_Review-g293917-d8773763-Reviews-Pasta_Basta_Italian_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/96/3d/a3/photo2jpg.jpg
89,See You Soon Cafe' Chiangmai,4,228,http://www.tripadvisor.com/Restaurant_Review-g293917-d9582995-Reviews-See_You_Soon_Cafe_Chiangmai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0a/f1/cc/66/see-you-soon.jpg
90,29 Cafe,4.5,242,http://www.tripadvisor.com/Restaurant_Review-g293917-d4740131-Reviews-29_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/05/48/40/1c/29-cafe.jpg
91,The Chef by Chef Tai,4.5,114,http://www.tripadvisor.com/Restaurant_Review-g293917-d9722263-Reviews-The_Chef_by_Chef_Tai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/d0/5a/86/the-chef-by-chef-tai.jpg
92,Bird of Paradise,4.5,79,http://www.tripadvisor.com/Restaurant_Review-g293917-d7806364-Reviews-Bird_of_Paradise-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/2e/c4/be/mussels.jpg
93,Why Ribs & Rumps,4.5,55,http://www.tripadvisor.com/Restaurant_Review-g293917-d12885037-Reviews-Why_Ribs_Rumps-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/10/98/a0/68/getlstd-property-photo.jpg
94,Vegan Heaven,4.5,50,http://www.tripadvisor.com/Restaurant_Review-g293917-d12572636-Reviews-Vegan_Heaven-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/ae/6e/ae/menu.jpg
95,Amrita Garden,4.5,167,http://www.tripadvisor.com/Restaurant_Review-g293917-d4124503-Reviews-Amrita_Garden-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/04/21/85/fe/amrita-garden.jpg
96,Fuang Vegetarian,4.5,60,http://www.tripadvisor.com/Restaurant_Review-g293917-d5244827-Reviews-Fuang_Vegetarian-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/06/dc/ab/88/great-seating-indoors.jpg
97,Alice's Restaurant,4.5,179,http://www.tripadvisor.com/Restaurant_Review-g293917-d8790088-Reviews-Alice_s_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0b/bc/1c/b5/super-power-salad.jpg
98,Khao Soi Lam Duan - Fa Ham,4.5,158,http://www.tripadvisor.com/Restaurant_Review-g293917-d3179026-Reviews-Khao_Soi_Lam_Duan_Fa_Ham-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/09/72/d1/77/caption.jpg
99,Raming Tea House Siam Celadon,4.5,282,http://www.tripadvisor.com/Restaurant_Review-g293917-d2100766-Reviews-Raming_Tea_House_Siam_Celadon-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/49/67/bc/satay.jpg
100,Bamboo Cafe,4.5,228,http://www.tripadvisor.com/Restaurant_Review-g293917-d3706988-Reviews-Bamboo_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/46/82/a1/20170128-171241-largejpg.jpg
101,Pancake House,4.5,68,http://www.tripadvisor.com/Restaurant_Review-g293917-d6131412-Reviews-Pancake_House-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/05/52/c5/0a/getlstd-property-photo.jpg
